Jam5 Nev34
Mic91 Nat88
Mic91 Sum62
Mic91 Had89
Mic91 Aar31
Mic91 Eli68
Car84 Nat88
Car84 Col39
Car84 Eli68
Mac71 Aar31
Mac71 Hay82
Mac71 Pen30
Mac71 Col39
Hay82 Nat88
Hay82 Sum62
Hay82 Pen30
Hay82 Eli68
Eli68 Nat88
Eli68 Eva14
Eli68 Pen30
Had89 Vic11
Had89 Ken41
Had89 Eva14
Had89 Pen30
Nat88 Rea73
Nat88 Eva14
Nat88 Pen30
Col39 Sad63
Col39 Ken41
Col39 Log40
Col39 Rea73
Col39 Sum62
Col39 Vic11
Col39 Ell98
Sum62 Sad63
Sum62 Eva14
Sum62 Ell98
Vic11 Pen30
Pen30 Ken41
Pen30 Rea73
Pen30 Isa54
Pen30 Ell98
Ell98 Eva14
Sad63 Lil5
Sad63 Ken41
Sad63 Isa54
Sad63 Rea73
Sad63 Ril94
Ken41 Rea73
Ken41 Ale30
Rea73 Ave30
Rea73 Ril94
Rea73 Isa53
Rea73 Gia19
Rea73 Log40
Log40 Ada15
Log40 Gia19
Log40 Seb38
Log40 Ril94
Isa53 Coo44
Isa53 Ave30
Isa53 Ale30
Isa53 Gia19
Isa53 Ril94
Ave30 Seb38
Ave30 Lil5
Ave30 Ale30
Ave30 Gia19
Ave30 Ada15
Ave30 Gra31
Ave30 Par90
Ril94 Lil5
Ril94 Gia19
Ril94 Ada15
Ril94 Gra31
Ril94 Par90
Ril94 Vio20
Lil5 Coo44
Lil5 Gra31
Lil5 Par90
Lil5 Ale30
Ale30 Coo44
Ale30 Par90
Ale30 Vio20
Ale30 Ada15
Seb38 Cha38
Seb38 Jul57
Seb38 Gia19
Seb38 Ada15
Seb38 Gra31
Seb38 Vio20
Gia19 Oli90
Gia19 Cha38
Gia19 Jul57
Gia19 Ada15
Gia19 Gra31
Gia19 Vio20
Ada15 Oli90
Ada15 Cha38
Ada15 Eli10
Ada15 Lia95
Ada15 Coo44
Ada15 Par90
Coo44 Oli90
Coo44 Eli10
Coo44 Lia95
Coo44 Lev34
Coo44 Gra31
Coo44 Par90
Gra31 Oli90
Gra31 Cha38
Gra31 Jul57
Gra31 Eli10
Gra31 Lia95
Gra31 Vio20
Par90 Lia95
Par90 Jac49
Par90 Vio20
Par90 Eli10
Vio20 Lia95
Vio20 Cha38
Vio20 Ant63
Vio20 Lev34
Vio20 Eli10
Oli90 Jac49
Oli90 Ari97
Cha38 Jul57
Cha38 Jac49
Cha38 Sam61
Eli10 smk44
Eli10 Luc30
Lia95 smk44
Lia95 Car82
Lia95 Lev34
Lia95 Ari97
Lia95 Luc30
Lia95 Sam61
Lev34 Jac49
Lev34 Luc7
Lev34 Car82
Lev34 Ant63
Lev34 Car80
Jac49 Jac26
Jac49 Ari97
Ari97 smk44
Ari97 Luc7
Ari97 Car82
Ari97 Car80
Ari97 Ale2
Ari97 Ant63
Ari97 Luc30
Ant63 Luc7
Ant63 Car80
Ant63 Car82
Ant63 Ale2
Ant63 Sam61
Luc30 Cam16
Luc30 smk44
Luc30 Luc7
Luc30 Ale2
Luc30 Car80
Sam61 Car82
Sam61 Jac26
Sam61 Ale2
Sam61 Wil48
Sam61 Cam16
Sam61 Gab45
smk44 Cam16
smk44 Gab45
smk44 Ale2
smk44 Car80
Luc7 Car80
Luc7 Jac26
Luc7 Ale2
Luc7 Ash60
Luc7 Wil48
Luc7 Gab45
Luc7 Max14
Car82 Cam16
Car82 Gab45
Car82 Max14
Car82 Ale2
Car82 Wil48
Car80 Jac26
Car80 Ale2
Car80 Ash60
Car80 Cam16
Car80 Wil48
Car80 Gab45
Jac26 Sop48
Ale2 Hen92
Ale2 Tyl2
Ale2 Ash60
Cam16 Hen92
Cam16 Max14
Cam16 Bry35
Cam16 Nat68
Cam16 Tyl2
Wil48 Max14
Wil48 Nat68
Gab45 Hen92
Gab45 Nat68
Ash60 Sop48
Ash60 Bry35
Ash60 Joh49
Max14 Cla54
Tyl2 Ari65
Tyl2 Bry35
Tyl2 Joh49
Tyl2 Cla54
Tyl2 Nat68
Hen92 Ari65
Hen92 Ian46
Hen92 Sop48
Hen92 Ben63
Sop48 Ari65
Sop48 Jos80
Bry35 Joh49
Bry35 Cla54
Bry35 Jos80
Bry35 Ben63
Nat68 Aal91
Cla54 Ari65
Cla54 Aal91
Cla54 Lil78
Cla54 Ben63
Ian46 Ari65
Ian46 Aal91
Ian46 Joh49
Ian46 Tri22
Ian46 Lil78
Joh49 Aal91
Joh49 Tri22
Joh49 Jas15
Joh49 Jac37
Joh49 Pey81
Joh49 Ari65
Joh49 Jos80
Ari65 Jas15
Ari65 Pey81
Ari65 Lil78
Ari65 Rya11
Ari65 Ben63
Ben63 Jas15
Ben63 Tri22
Ben63 Aal91
Ben63 Pey81
Ben63 Bro13
Ben63 Lil78
Jos80 Jas15
Jos80 Jor67
Jos80 Tri22
Lil78 Jas15
Lil78 Rya11
Aal91 Ann71
Aal91 Jas15
Aal91 Jor67
Jas15 Jac37
Jas15 Pey81
Jas15 Rya11
Jas15 Bro13
Jas15 Ann71
Jas15 Cha12
Jas15 Lil68
Jac37 Pey81
Jac37 Rya11
Jac37 Ann71
Jac37 Cha12
Jac37 Ale51
Jac37 Sop59
Jac37 Lil68
Pey81 Lil68
Pey81 Sop59
Pey81 Col84
Rya11 Jor67
Rya11 Bro13
Rya11 Ann71
Rya11 Isa35
Rya11 Sop59
Rya11 Col84
Rya11 Lil68
Bro13 Jor67
Bro13 Ann71
Bro13 Cha12
Bro13 Ale51
Bro13 Sop59
Bro13 Lil68
Jor67 Isa35
Jor67 Cha12
Jor67 Ale51
Jor67 Sop59
Ann71 Lil68
Ann71 Cha12
Ann71 Sop59
Ann71 Col84
Ann71 Isa35
Ann71 Bel65
Ann71 Ell54
Lil68 Jak25
Lil68 Cha12
Lil68 Ale51
Lil68 Sop59
Lil68 Col84
Lil68 Isa35
Lil68 Bel65
Lil68 Ell54
Ale51 Isa35
Ale51 Jak25
Ale51 Bel65
Ale51 Sop59
Ale51 Ell54
Sop59 Jak25
Sop59 Oli78
Sop59 Col84
Sop59 Bel65
Sop59 Jos8
Sop59 Ell54
Bel65 Jak25
Bel65 Kay42
Bel65 Bry62
Bel65 Oli78
Bel65 Pip100
Jos8 Kay42
Jos8 Hud73
Jos8 Ell54
Ell54 Bry62
Ell54 Cal65
Jak25 Pip100
Jak25 Oli78
Jak25 Kay42
Jak25 Nat30
Jak25 Add30
Jak25 Bry62
Gav85 Hud73
Gav85 Kay42
Gav85 Bry62
Gav85 Oli78
Gav85 Cal65
Pip100 Oli78
Pip100 Kay42
Pip100 Hud73
Pip100 Cal65
Pip100 Nat30
Pip100 Add30
Pip100 Jos99
Pip100 Bry62
Oli78 Nat30
Oli78 Kay42
Oli78 Hud73
Oli78 Add30
Oli78 Jos99
Nat30 Kai81
Bry62 Kay42
Bry62 Cal65
Bry62 Add30
Bry62 Jos99
Bry62 Isa7
Bry62 Bro63
Bry62 Kai81
Kay42 Kai81
Kay42 Add30
Kay42 Mia0
Kay42 Jos99
Hud73 Mia0
Hud73 Cal65
Add30 Bro63
Add30 Kai81
Add30 Mia0
Isa7 Mia0
Bro63 Kai81
Kai81 Mia0
