INSERT INTO IsFriendsWith VALUES('Jam5', 'Nev34')
INSERT INTO IsFriendsWith VALUES('cmw78', 'Kat82')
INSERT INTO IsFriendsWith VALUES('cmw78', 'Aub27')
INSERT INTO IsFriendsWith VALUES('cmw78', 'Jer83')
INSERT INTO IsFriendsWith VALUES('Col91', 'Tho16')
INSERT INTO IsFriendsWith VALUES('Col91', 'Mic66')
INSERT INTO IsFriendsWith VALUES('Col91', 'Jer83')
INSERT INTO IsFriendsWith VALUES('Col91', 'Cha68')
INSERT INTO IsFriendsWith VALUES('Kat8', 'All90')
INSERT INTO IsFriendsWith VALUES('Kat8', 'Tho16')
INSERT INTO IsFriendsWith VALUES('Kat8', 'Aub27')
INSERT INTO IsFriendsWith VALUES('Kat82', 'Emm86')
INSERT INTO IsFriendsWith VALUES('Kat82', 'Jor41')
INSERT INTO IsFriendsWith VALUES('Kat82', 'All90')
INSERT INTO IsFriendsWith VALUES('Kat82', 'Jus83')
INSERT INTO IsFriendsWith VALUES('Kat82', 'Cha68')
INSERT INTO IsFriendsWith VALUES('Aub27', 'Syd89')
INSERT INTO IsFriendsWith VALUES('Aub27', 'Jer83')
INSERT INTO IsFriendsWith VALUES('Aub27', 'Tho16')
INSERT INTO IsFriendsWith VALUES('Aub27', 'Cha68')
INSERT INTO IsFriendsWith VALUES('Aub27', 'Jor41')
INSERT INTO IsFriendsWith VALUES('Aub27', 'Emm86')
INSERT INTO IsFriendsWith VALUES('Aub27', 'All90')
INSERT INTO IsFriendsWith VALUES('Jer83', 'Emm86')
INSERT INTO IsFriendsWith VALUES('Jer83', 'Chr6')
INSERT INTO IsFriendsWith VALUES('Jer83', 'Tho16')
INSERT INTO IsFriendsWith VALUES('Jer83', 'Jus83')
INSERT INTO IsFriendsWith VALUES('Jer83', 'Jor41')
INSERT INTO IsFriendsWith VALUES('Tho16', 'Chr6')
INSERT INTO IsFriendsWith VALUES('Tho16', 'And97')
INSERT INTO IsFriendsWith VALUES('Tho16', 'Cha68')
INSERT INTO IsFriendsWith VALUES('Tho16', 'Jor41')
INSERT INTO IsFriendsWith VALUES('Tho16', 'Mic66')
INSERT INTO IsFriendsWith VALUES('Tho16', 'All90')
INSERT INTO IsFriendsWith VALUES('Tho16', 'Jus83')
INSERT INTO IsFriendsWith VALUES('Cha68', 'Syd89')
INSERT INTO IsFriendsWith VALUES('Cha68', 'Chr6')
INSERT INTO IsFriendsWith VALUES('Cha68', 'Jor41')
INSERT INTO IsFriendsWith VALUES('Cha68', 'Mic66')
INSERT INTO IsFriendsWith VALUES('Cha68', 'Emm86')
INSERT INTO IsFriendsWith VALUES('Cha68', 'All90')
INSERT INTO IsFriendsWith VALUES('Mic66', 'Syd89')
INSERT INTO IsFriendsWith VALUES('Mic66', 'Chr6')
INSERT INTO IsFriendsWith VALUES('Mic66', 'And97')
INSERT INTO IsFriendsWith VALUES('Mic66', 'Eve84')
INSERT INTO IsFriendsWith VALUES('Mic66', 'Zac69')
INSERT INTO IsFriendsWith VALUES('Mic66', 'Emm86')
INSERT INTO IsFriendsWith VALUES('Mic66', 'Jus83')
INSERT INTO IsFriendsWith VALUES('Emm86', 'Zac69')
INSERT INTO IsFriendsWith VALUES('Emm86', 'Mad15')
INSERT INTO IsFriendsWith VALUES('Emm86', 'And97')
INSERT INTO IsFriendsWith VALUES('Emm86', 'Jus83')
INSERT INTO IsFriendsWith VALUES('Emm86', 'Chr6')
INSERT INTO IsFriendsWith VALUES('All90', 'And97')
INSERT INTO IsFriendsWith VALUES('All90', 'Bro30')
INSERT INTO IsFriendsWith VALUES('All90', 'Eve84')
INSERT INTO IsFriendsWith VALUES('Jus83', 'Mad15')
INSERT INTO IsFriendsWith VALUES('Jus83', 'Aid34')
INSERT INTO IsFriendsWith VALUES('Syd89', 'And97')
INSERT INTO IsFriendsWith VALUES('Syd89', 'Aid34')
INSERT INTO IsFriendsWith VALUES('Syd89', 'Eve84')
INSERT INTO IsFriendsWith VALUES('Syd89', 'Zac69')
INSERT INTO IsFriendsWith VALUES('Syd89', 'Jul16')
INSERT INTO IsFriendsWith VALUES('Syd89', 'Cad43')
INSERT INTO IsFriendsWith VALUES('And97', 'Aid34')
INSERT INTO IsFriendsWith VALUES('And97', 'Eve84')
INSERT INTO IsFriendsWith VALUES('And97', 'Bro30')
INSERT INTO IsFriendsWith VALUES('And97', 'Jul16')
INSERT INTO IsFriendsWith VALUES('And97', 'Cad43')
INSERT INTO IsFriendsWith VALUES('And97', 'Dyl88')
INSERT INTO IsFriendsWith VALUES('Aid34', 'Zac69')
INSERT INTO IsFriendsWith VALUES('Aid34', 'Lau99')
INSERT INTO IsFriendsWith VALUES('Aid34', 'Bro30')
INSERT INTO IsFriendsWith VALUES('Aid34', 'Mad15')
INSERT INTO IsFriendsWith VALUES('Eve84', 'Jon81')
INSERT INTO IsFriendsWith VALUES('Eve84', 'Bro30')
INSERT INTO IsFriendsWith VALUES('Eve84', 'Dyl88')
INSERT INTO IsFriendsWith VALUES('Eve84', 'Cad43')
INSERT INTO IsFriendsWith VALUES('Eve84', 'Chr83')
INSERT INTO IsFriendsWith VALUES('Mad15', 'Sar51')
INSERT INTO IsFriendsWith VALUES('Mad15', 'Kei38')
INSERT INTO IsFriendsWith VALUES('Mad15', 'Bro30')
INSERT INTO IsFriendsWith VALUES('Mad15', 'Jul16')
INSERT INTO IsFriendsWith VALUES('Mad15', 'Jon81')
INSERT INTO IsFriendsWith VALUES('Mad15', 'Lau99')
INSERT INTO IsFriendsWith VALUES('Bro30', 'Sam28')
INSERT INTO IsFriendsWith VALUES('Jul16', 'Lau99')
INSERT INTO IsFriendsWith VALUES('Jul16', 'Sam28')
INSERT INTO IsFriendsWith VALUES('Jul16', 'Dyl88')
INSERT INTO IsFriendsWith VALUES('Cad43', 'Kei38')
INSERT INTO IsFriendsWith VALUES('Lau99', 'Kei38')
INSERT INTO IsFriendsWith VALUES('Lau99', 'Sam28')
INSERT INTO IsFriendsWith VALUES('Lau99', 'Aus97')
INSERT INTO IsFriendsWith VALUES('Lau99', 'Sar51')
INSERT INTO IsFriendsWith VALUES('Lau99', 'Jon81')
INSERT INTO IsFriendsWith VALUES('Dyl88', 'Kyl49')
INSERT INTO IsFriendsWith VALUES('Dyl88', 'Sar51')
INSERT INTO IsFriendsWith VALUES('Dyl88', 'Chr83')
INSERT INTO IsFriendsWith VALUES('Jon81', 'Sam28')
INSERT INTO IsFriendsWith VALUES('Jon81', 'Sar51')
INSERT INTO IsFriendsWith VALUES('Jon81', 'Chr83')
INSERT INTO IsFriendsWith VALUES('Chr83', 'Lil87')
INSERT INTO IsFriendsWith VALUES('Chr83', 'Sam28')
INSERT INTO IsFriendsWith VALUES('Chr83', 'Aus97')
INSERT INTO IsFriendsWith VALUES('Chr83', 'Ben87')
INSERT INTO IsFriendsWith VALUES('Sar51', 'Sam28')
INSERT INTO IsFriendsWith VALUES('Sar51', 'Mic59')
INSERT INTO IsFriendsWith VALUES('Kei38', 'Lil87')
INSERT INTO IsFriendsWith VALUES('Kei38', 'Aus97')
INSERT INTO IsFriendsWith VALUES('Kei38', 'Mic59')
INSERT INTO IsFriendsWith VALUES('Sam28', 'Mic59')
INSERT INTO IsFriendsWith VALUES('Sam28', 'Mar82')
INSERT INTO IsFriendsWith VALUES('Aus97', 'Chl89')
INSERT INTO IsFriendsWith VALUES('Aus97', 'Mar82')
INSERT INTO IsFriendsWith VALUES('Eli31', 'Chl89')
INSERT INTO IsFriendsWith VALUES('Eli31', 'Xav49')
INSERT INTO IsFriendsWith VALUES('Eli31', 'Kyl49')
INSERT INTO IsFriendsWith VALUES('Eli31', 'Ben87')
INSERT INTO IsFriendsWith VALUES('Eli31', 'Lil87')
INSERT INTO IsFriendsWith VALUES('Eli31', 'Dan83')
INSERT INTO IsFriendsWith VALUES('Eli31', 'Mar82')
INSERT INTO IsFriendsWith VALUES('Ben87', 'Dan83')
INSERT INTO IsFriendsWith VALUES('Mic59', 'Xav49')
INSERT INTO IsFriendsWith VALUES('Mic59', 'Mak23')
INSERT INTO IsFriendsWith VALUES('Lil87', 'Mak23')
INSERT INTO IsFriendsWith VALUES('Lil87', 'Xav49')
INSERT INTO IsFriendsWith VALUES('Mar82', 'Chl89')
INSERT INTO IsFriendsWith VALUES('Mak23', 'Emi32')
INSERT INTO IsFriendsWith VALUES('Mak23', 'Tay67')
INSERT INTO IsFriendsWith VALUES('Dan83', 'Mad79')
INSERT INTO IsFriendsWith VALUES('Dan83', 'Tay67')
INSERT INTO IsFriendsWith VALUES('Dan83', 'Dom15')
INSERT INTO IsFriendsWith VALUES('Dan83', 'Emi32')
INSERT INTO IsFriendsWith VALUES('Dan83', 'Gra6')
INSERT INTO IsFriendsWith VALUES('Dan83', 'Sie27')
INSERT INTO IsFriendsWith VALUES('Chl89', 'Emi32')
INSERT INTO IsFriendsWith VALUES('Chl89', 'Jas43')
INSERT INTO IsFriendsWith VALUES('Chl89', 'Xav49')
INSERT INTO IsFriendsWith VALUES('Chl89', 'Tay67')
INSERT INTO IsFriendsWith VALUES('Chl89', 'Dom15')
INSERT INTO IsFriendsWith VALUES('Xav49', 'Mad79')
INSERT INTO IsFriendsWith VALUES('Xav49', 'Tay67')
INSERT INTO IsFriendsWith VALUES('Xav49', 'Dom15')
INSERT INTO IsFriendsWith VALUES('Xav49', 'Gra6')
INSERT INTO IsFriendsWith VALUES('Xav49', 'Ann68')
INSERT INTO IsFriendsWith VALUES('Xav49', 'Ava79')
INSERT INTO IsFriendsWith VALUES('Dom15', 'Ava79')
INSERT INTO IsFriendsWith VALUES('Dom15', 'Sie27')
INSERT INTO IsFriendsWith VALUES('Tay67', 'Bra16')
INSERT INTO IsFriendsWith VALUES('Tay67', 'Ann68')
INSERT INTO IsFriendsWith VALUES('Tay67', 'Sie27')
INSERT INTO IsFriendsWith VALUES('Jas43', 'Ava79')
INSERT INTO IsFriendsWith VALUES('Jas43', 'Sie27')
INSERT INTO IsFriendsWith VALUES('Jas43', 'Gra6')
INSERT INTO IsFriendsWith VALUES('Gra6', 'Bra16')
INSERT INTO IsFriendsWith VALUES('Gra6', 'Mad79')
INSERT INTO IsFriendsWith VALUES('Gra6', 'Ava79')
INSERT INTO IsFriendsWith VALUES('Gra6', 'Sav8')
INSERT INTO IsFriendsWith VALUES('Gra6', 'Emi32')
INSERT INTO IsFriendsWith VALUES('Gra6', 'May85')
INSERT INTO IsFriendsWith VALUES('Emi32', 'May85')
INSERT INTO IsFriendsWith VALUES('Emi32', 'Ann68')
INSERT INTO IsFriendsWith VALUES('Emi32', 'Mad79')
INSERT INTO IsFriendsWith VALUES('Emi32', 'Nol46')
INSERT INTO IsFriendsWith VALUES('Emi32', 'Har95')
INSERT INTO IsFriendsWith VALUES('Mad79', 'Ava79')
INSERT INTO IsFriendsWith VALUES('Sie27', 'Jay81')
INSERT INTO IsFriendsWith VALUES('Sie27', 'Ann68')
INSERT INTO IsFriendsWith VALUES('Sie27', 'May85')
INSERT INTO IsFriendsWith VALUES('Sie27', 'Har95')
INSERT INTO IsFriendsWith VALUES('Ava79', 'Ann68')
INSERT INTO IsFriendsWith VALUES('Ava79', 'Nol46')
INSERT INTO IsFriendsWith VALUES('Ava79', 'Sav8')
INSERT INTO IsFriendsWith VALUES('Ann68', 'Bra16')
INSERT INTO IsFriendsWith VALUES('Ann68', 'May85')
INSERT INTO IsFriendsWith VALUES('Ann68', 'Mor15')
INSERT INTO IsFriendsWith VALUES('Ann68', 'Sav8')
INSERT INTO IsFriendsWith VALUES('Bra16', 'Hai6')
INSERT INTO IsFriendsWith VALUES('May85', 'Abi42')
INSERT INTO IsFriendsWith VALUES('May85', 'Ste31')
INSERT INTO IsFriendsWith VALUES('May85', 'Hai6')
INSERT INTO IsFriendsWith VALUES('May85', 'Mor15')
INSERT INTO IsFriendsWith VALUES('May85', 'Har95')
INSERT INTO IsFriendsWith VALUES('Nol46', 'Sav8')
INSERT INTO IsFriendsWith VALUES('Nol46', 'Har95')
INSERT INTO IsFriendsWith VALUES('Nol46', 'Jay81')
INSERT INTO IsFriendsWith VALUES('Nol46', 'Abi42')
INSERT INTO IsFriendsWith VALUES('Nol46', 'Ste31')
INSERT INTO IsFriendsWith VALUES('Nol46', 'Hai6')
INSERT INTO IsFriendsWith VALUES('Nol46', 'Con9')
INSERT INTO IsFriendsWith VALUES('Nol46', 'Mol26')
INSERT INTO IsFriendsWith VALUES('Sav8', 'Con9')
INSERT INTO IsFriendsWith VALUES('Sav8', 'Har95')
INSERT INTO IsFriendsWith VALUES('Har95', 'Jay81')
INSERT INTO IsFriendsWith VALUES('Har95', 'Abi42')
INSERT INTO IsFriendsWith VALUES('Har95', 'Mor15')
INSERT INTO IsFriendsWith VALUES('Har95', 'Con9')
INSERT INTO IsFriendsWith VALUES('Jay81', 'Mol26')
INSERT INTO IsFriendsWith VALUES('Jay81', 'Ste31')
INSERT INTO IsFriendsWith VALUES('Jay81', 'Mor15')
INSERT INTO IsFriendsWith VALUES('Jay81', 'Jac35')
INSERT INTO IsFriendsWith VALUES('Jay81', 'Abi42')
INSERT INTO IsFriendsWith VALUES('Con9', 'Abi42')
INSERT INTO IsFriendsWith VALUES('Con9', 'Ste31')
INSERT INTO IsFriendsWith VALUES('Con9', 'Mil91')
INSERT INTO IsFriendsWith VALUES('Con9', 'Ryd28')
INSERT INTO IsFriendsWith VALUES('Con9', 'Kay16')
INSERT INTO IsFriendsWith VALUES('Ste31', 'Hai6')
INSERT INTO IsFriendsWith VALUES('Ste31', 'Kay16')
INSERT INTO IsFriendsWith VALUES('Mor15', 'Lay73')
INSERT INTO IsFriendsWith VALUES('Mor15', 'Hai6')
INSERT INTO IsFriendsWith VALUES('Hai6', 'Lay73')
INSERT INTO IsFriendsWith VALUES('Hai6', 'Jac35')
INSERT INTO IsFriendsWith VALUES('Hai6', 'Sea72')
INSERT INTO IsFriendsWith VALUES('Hai6', 'Mil91')
INSERT INTO IsFriendsWith VALUES('Hai6', 'Abi42')
INSERT INTO IsFriendsWith VALUES('Hai6', 'Mol26')
INSERT INTO IsFriendsWith VALUES('Hai6', 'Kay16')
INSERT INTO IsFriendsWith VALUES('Abi42', 'Lay73')
INSERT INTO IsFriendsWith VALUES('Abi42', 'Jac35')
INSERT INTO IsFriendsWith VALUES('Abi42', 'Ryd28')
INSERT INTO IsFriendsWith VALUES('Abi42', 'Sea72')
INSERT INTO IsFriendsWith VALUES('Mol26', 'Jac35')
INSERT INTO IsFriendsWith VALUES('Mol26', 'Sea72')
INSERT INTO IsFriendsWith VALUES('Mol26', 'Wya20')
INSERT INTO IsFriendsWith VALUES('Mol26', 'Bai60')
INSERT INTO IsFriendsWith VALUES('Mol26', 'Mil91')
INSERT INTO IsFriendsWith VALUES('Mol26', 'Adr41')
INSERT INTO IsFriendsWith VALUES('Mol26', 'Kay16')
INSERT INTO IsFriendsWith VALUES('Kay16', 'Ryd28')
INSERT INTO IsFriendsWith VALUES('Kay16', 'Lay73')
INSERT INTO IsFriendsWith VALUES('Kay16', 'Jac35')
INSERT INTO IsFriendsWith VALUES('Kay16', 'Sea72')
INSERT INTO IsFriendsWith VALUES('Kay16', 'Wya20')
INSERT INTO IsFriendsWith VALUES('Kay16', 'Bai60')
INSERT INTO IsFriendsWith VALUES('Kay16', 'Adr41')
INSERT INTO IsFriendsWith VALUES('Kay16', 'Bra81')
INSERT INTO IsFriendsWith VALUES('Mil91', 'Lay73')
INSERT INTO IsFriendsWith VALUES('Mil91', 'Jac35')
INSERT INTO IsFriendsWith VALUES('Mil91', 'Wya20')
INSERT INTO IsFriendsWith VALUES('Mil91', 'Bai60')
INSERT INTO IsFriendsWith VALUES('Mil91', 'Bra81')
INSERT INTO IsFriendsWith VALUES('Mil91', 'Nor93')
INSERT INTO IsFriendsWith VALUES('Ryd28', 'Bra81')
INSERT INTO IsFriendsWith VALUES('Ryd28', 'Adr41')
INSERT INTO IsFriendsWith VALUES('Ryd28', 'Bai60')
INSERT INTO IsFriendsWith VALUES('Ryd28', 'Sea72')
INSERT INTO IsFriendsWith VALUES('Lay73', 'Abb34')
INSERT INTO IsFriendsWith VALUES('Lay73', 'Adr41')
INSERT INTO IsFriendsWith VALUES('Lay73', 'Bra81')
INSERT INTO IsFriendsWith VALUES('Lay73', 'Nor93')
INSERT INTO IsFriendsWith VALUES('Lay73', 'Noa33')
INSERT INTO IsFriendsWith VALUES('Lay73', 'Ame74')
INSERT INTO IsFriendsWith VALUES('Sea72', 'Bai60')
INSERT INTO IsFriendsWith VALUES('Sea72', 'Nor93')
INSERT INTO IsFriendsWith VALUES('Sea72', 'Adr41')
INSERT INTO IsFriendsWith VALUES('Wya20', 'Bra81')
INSERT INTO IsFriendsWith VALUES('Wya20', 'Nor93')
INSERT INTO IsFriendsWith VALUES('Wya20', 'Noa33')
INSERT INTO IsFriendsWith VALUES('Wya20', 'Abb34')
INSERT INTO IsFriendsWith VALUES('Bai60', 'Bra81')
INSERT INTO IsFriendsWith VALUES('Bai60', 'Ame74')
INSERT INTO IsFriendsWith VALUES('Bai60', 'Ril8')
INSERT INTO IsFriendsWith VALUES('Adr41', 'Bra81')
INSERT INTO IsFriendsWith VALUES('Adr41', 'Ale15')
INSERT INTO IsFriendsWith VALUES('Adr41', 'Ash69')
INSERT INTO IsFriendsWith VALUES('Adr41', 'Abb34')
INSERT INTO IsFriendsWith VALUES('Bra81', 'Gab16')
INSERT INTO IsFriendsWith VALUES('Bra81', 'Ash69')
INSERT INTO IsFriendsWith VALUES('Nor93', 'Gab16')
INSERT INTO IsFriendsWith VALUES('Nor93', 'Ale15')
INSERT INTO IsFriendsWith VALUES('Nor93', 'Ken96')
INSERT INTO IsFriendsWith VALUES('Nor93', 'Ash69')
INSERT INTO IsFriendsWith VALUES('Nor93', 'Ril8')
INSERT INTO IsFriendsWith VALUES('Ame74', 'Abb34')
INSERT INTO IsFriendsWith VALUES('Ame74', 'Ale15')
INSERT INTO IsFriendsWith VALUES('Ame74', 'Ken96')
INSERT INTO IsFriendsWith VALUES('Ame74', 'Ril8')
INSERT INTO IsFriendsWith VALUES('Ame74', 'Mas57')
INSERT INTO IsFriendsWith VALUES('Ame74', 'Gab16')
INSERT INTO IsFriendsWith VALUES('Abb34', 'Ash69')
INSERT INTO IsFriendsWith VALUES('Abb34', 'Hun21')
INSERT INTO IsFriendsWith VALUES('Abb34', 'Mas57')
INSERT INTO IsFriendsWith VALUES('Abb34', 'Jac60')
INSERT INTO IsFriendsWith VALUES('Abb34', 'Gab16')
INSERT INTO IsFriendsWith VALUES('Abb34', 'Pai48')
INSERT INTO IsFriendsWith VALUES('Ril8', 'Jac60')
INSERT INTO IsFriendsWith VALUES('Ril8', 'Gab16')
INSERT INTO IsFriendsWith VALUES('Ash69', 'Ale15')
INSERT INTO IsFriendsWith VALUES('Ash69', 'Jul6')
INSERT INTO IsFriendsWith VALUES('Ale15', 'Jac60')
INSERT INTO IsFriendsWith VALUES('Gab16', 'Mat29')
INSERT INTO IsFriendsWith VALUES('Gab16', 'Jul6')
INSERT INTO IsFriendsWith VALUES('Ken96', 'Mas57')
INSERT INTO IsFriendsWith VALUES('Ken96', 'Joc21')
INSERT INTO IsFriendsWith VALUES('Ken96', 'Mat29')
INSERT INTO IsFriendsWith VALUES('Ken96', 'Jul6')
INSERT INTO IsFriendsWith VALUES('Hun21', 'Mas57')
INSERT INTO IsFriendsWith VALUES('Hun21', 'Bla21')
INSERT INTO IsFriendsWith VALUES('Hun21', 'Joc21')
INSERT INTO IsFriendsWith VALUES('Hun21', 'Mat29')
INSERT INTO IsFriendsWith VALUES('Mas57', 'Jac60')
INSERT INTO IsFriendsWith VALUES('Mas57', 'Pai48')
INSERT INTO IsFriendsWith VALUES('Mas57', 'Bra7')
INSERT INTO IsFriendsWith VALUES('Mas57', 'Jul6')
INSERT INTO IsFriendsWith VALUES('Jac60', 'Lan11')
INSERT INTO IsFriendsWith VALUES('Jac60', 'Sca14')
INSERT INTO IsFriendsWith VALUES('Jac60', 'Joc21')
INSERT INTO IsFriendsWith VALUES('Jac60', 'Pai48')
INSERT INTO IsFriendsWith VALUES('Jac60', 'Bla21')
INSERT INTO IsFriendsWith VALUES('Jac60', 'Mat29')
INSERT INTO IsFriendsWith VALUES('Pai48', 'Eva28')
INSERT INTO IsFriendsWith VALUES('Pai48', 'Lan11')
INSERT INTO IsFriendsWith VALUES('Pai48', 'Bra7')
INSERT INTO IsFriendsWith VALUES('Pai48', 'Joc21')
INSERT INTO IsFriendsWith VALUES('Pai48', 'Aly65')
INSERT INTO IsFriendsWith VALUES('Jul6', 'Bla21')
INSERT INTO IsFriendsWith VALUES('Jul6', 'Joc21')
INSERT INTO IsFriendsWith VALUES('Jul6', 'Mat29')
INSERT INTO IsFriendsWith VALUES('Jul6', 'Sca14')
INSERT INTO IsFriendsWith VALUES('Jul6', 'Aly65')
INSERT INTO IsFriendsWith VALUES('Bla21', 'Eva28')
INSERT INTO IsFriendsWith VALUES('Bla21', 'Mic91')
INSERT INTO IsFriendsWith VALUES('Bla21', 'Bra7')
INSERT INTO IsFriendsWith VALUES('Bla21', 'Nic73')
INSERT INTO IsFriendsWith VALUES('Bla21', 'Lan11')
INSERT INTO IsFriendsWith VALUES('Mat29', 'Eva28')
INSERT INTO IsFriendsWith VALUES('Mat29', 'Joc21')
INSERT INTO IsFriendsWith VALUES('Mat29', 'Bra7')
INSERT INTO IsFriendsWith VALUES('Mat29', 'Sca14')
INSERT INTO IsFriendsWith VALUES('Mat29', 'Lan11')
INSERT INTO IsFriendsWith VALUES('Joc21', 'Lan11')
INSERT INTO IsFriendsWith VALUES('Joc21', 'Bra7')
INSERT INTO IsFriendsWith VALUES('Joc21', 'Nic73')
INSERT INTO IsFriendsWith VALUES('Joc21', 'Mic91')
INSERT INTO IsFriendsWith VALUES('Joc21', 'Mac71')
INSERT INTO IsFriendsWith VALUES('Joc21', 'Eva28')
INSERT INTO IsFriendsWith VALUES('Bra7', 'Eva28')
INSERT INTO IsFriendsWith VALUES('Bra7', 'Car84')
INSERT INTO IsFriendsWith VALUES('Bra7', 'Aly65')
INSERT INTO IsFriendsWith VALUES('Sca14', 'Eva28')
INSERT INTO IsFriendsWith VALUES('Sca14', 'Mic91')
INSERT INTO IsFriendsWith VALUES('Sca14', 'Lan11')
INSERT INTO IsFriendsWith VALUES('Sca14', 'Aly65')
INSERT INTO IsFriendsWith VALUES('Sca14', 'Hay82')
INSERT INTO IsFriendsWith VALUES('Eva28', 'Lan11')
INSERT INTO IsFriendsWith VALUES('Eva28', 'Mic91')
INSERT INTO IsFriendsWith VALUES('Eva28', 'Mac71')
INSERT INTO IsFriendsWith VALUES('Eva28', 'Aar31')
INSERT INTO IsFriendsWith VALUES('Eva28', 'Hay82')
INSERT INTO IsFriendsWith VALUES('Eva28', 'Eli68')
INSERT INTO IsFriendsWith VALUES('Lan11', 'Mic91')
INSERT INTO IsFriendsWith VALUES('Lan11', 'Hay82')
INSERT INTO IsFriendsWith VALUES('Lan11', 'Aly65')
INSERT INTO IsFriendsWith VALUES('Lan11', 'Eli68')
INSERT INTO IsFriendsWith VALUES('Aly65', 'Nat88')
INSERT INTO IsFriendsWith VALUES('Aly65', 'Eli68')
INSERT INTO IsFriendsWith VALUES('Nic73', 'Aar31')
INSERT INTO IsFriendsWith VALUES('Nic73', 'Col39')
INSERT INTO IsFriendsWith VALUES('Nic73', 'Car84')
INSERT INTO IsFriendsWith VALUES('Nic73', 'Hay82')
INSERT INTO IsFriendsWith VALUES('Nic73', 'Eli68')
INSERT INTO IsFriendsWith VALUES('Mic91', 'Car84')
INSERT INTO IsFriendsWith VALUES('Mic91', 'Col39')
INSERT INTO IsFriendsWith VALUES('Mic91', 'Nat88')
INSERT INTO IsFriendsWith VALUES('Mic91', 'Sum62')
INSERT INTO IsFriendsWith VALUES('Mic91', 'Had89')
INSERT INTO IsFriendsWith VALUES('Mic91', 'Aar31')
INSERT INTO IsFriendsWith VALUES('Mic91', 'Eli68')
INSERT INTO IsFriendsWith VALUES('Car84', 'Nat88')
INSERT INTO IsFriendsWith VALUES('Car84', 'Col39')
INSERT INTO IsFriendsWith VALUES('Car84', 'Eli68')
INSERT INTO IsFriendsWith VALUES('Mac71', 'Aar31')
INSERT INTO IsFriendsWith VALUES('Mac71', 'Hay82')
INSERT INTO IsFriendsWith VALUES('Mac71', 'Pen30')
INSERT INTO IsFriendsWith VALUES('Mac71', 'Col39')
INSERT INTO IsFriendsWith VALUES('Hay82', 'Nat88')
INSERT INTO IsFriendsWith VALUES('Hay82', 'Sum62')
INSERT INTO IsFriendsWith VALUES('Hay82', 'Pen30')
INSERT INTO IsFriendsWith VALUES('Hay82', 'Eli68')
INSERT INTO IsFriendsWith VALUES('Eli68', 'Nat88')
INSERT INTO IsFriendsWith VALUES('Eli68', 'Eva14')
INSERT INTO IsFriendsWith VALUES('Eli68', 'Pen30')
INSERT INTO IsFriendsWith VALUES('Had89', 'Vic11')
INSERT INTO IsFriendsWith VALUES('Had89', 'Ken41')
INSERT INTO IsFriendsWith VALUES('Had89', 'Eva14')
INSERT INTO IsFriendsWith VALUES('Had89', 'Pen30')
INSERT INTO IsFriendsWith VALUES('Nat88', 'Rea73')
INSERT INTO IsFriendsWith VALUES('Nat88', 'Eva14')
INSERT INTO IsFriendsWith VALUES('Nat88', 'Pen30')
INSERT INTO IsFriendsWith VALUES('Col39', 'Sad63')
INSERT INTO IsFriendsWith VALUES('Col39', 'Ken41')
INSERT INTO IsFriendsWith VALUES('Col39', 'Log40')
INSERT INTO IsFriendsWith VALUES('Col39', 'Rea73')
INSERT INTO IsFriendsWith VALUES('Col39', 'Sum62')
